raceId,driverId,constructorId,number,grid,laps,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,q1,q2,q3,year,round,circuitId,podium
835,611,113,23,25,42,0,0,0,0,51,0,0,0,1950,3,19,0
835,529,150,14,8,30,0,0,0,0,67,0,0,0,1950,3,19,0
835,537,107,45,18,25,0,0,0,0,85,0,0,0,1950,3,19,0
835,630,113,69,7,10,0,0,0,0,44,0,0,0,1950,3,19,0
835,529,113,17,9,136,0,0,0,0,12,0,0,0,1950,3,19,0
835,803,161,24,17,108,0,0,0,0,51,0,0,0,1950,3,19,0
836,642,51,16,2,42,0,0,0,0,1,0,0,0,1950,4,66,1
836,786,51,12,3,42,0,0,0,0,1,0,0,0,1950,4,66,1
836,627,154,10,10,41,0,0,0,0,11,0,0,0,1950,4,66,1
836,669,105,30,8,40,0,0,0,0,12,0,0,0,1950,4,66,0
836,697,105,34,12,40,0,0,0,0,12,0,0,0,1950,4,66,0
836,640,105,32,11,40,0,0,0,0,12,0,0,0,1950,4,66,0
836,800,105,2,15,39,0,0,0,0,13,0,0,0,1950,4,66,0
836,501,154,44,18,39,0,0,0,0,13,0,0,0,1950,4,66,0
836,589,105,26,16,39,0,0,0,0,13,0,0,0,1950,4,66,0
836,660,154,4,14,38,0,0,0,0,14,0,0,0,1950,4,66,0
836,780,105,40,17,35,0,0,0,0,17,0,0,0,1950,4,66,0
836,579,51,14,1,32,0,0,0,0,5,0,0,0,1950,4,66,0
836,741,154,42,6,25,0,0,0,0,6,0,0,0,1950,4,66,0
836,789,154,8,9,19,0,0,0,0,3,0,0,0,1950,4,66,0
836,793,6,20,13,19,0,0,0,0,22,0,0,0,1950,4,66,0
836,633,6,22,4,9,0,0,0,0,5,0,0,0,1950,4,66,0
836,647,6,18,5,4,0,0,0,0,94,0,0,0,1950,4,66,0
836,704,154,6,7,0,0,0,0,0,3,0,0,0,1950,4,66,0
837,579,51,10,2,35,0,0,0,0,1,0,0,0,1950,5,13,1
837,786,51,12,3,35,0,0,0,0,1,0,0,0,1950,5,13,1
837,627,154,14,8,35,0,0,0,0,1,0,0,0,1950,5,13,1
837,642,51,8,1,35,0,0,0,0,1,0,0,0,1950,5,13,0
837,647,6,4,7,34,0,0,0,0,11,0,0,0,1950,5,13,0
837,633,6,2,4,33,0,0,0,0,12,0,0,0,1950,5,13,0
837,773,154,22,10,33,0,0,0,0,12,0,0,0,1950,5,13,0
837,660,154,24,14,22,0,0,0,0,13,0,0,0,1950,5,13,0
837,785,126,26,12,30,0,0,0,0,15,0,0,0,1950,5,13,0
837,780,105,30,11,29,0,0,0,0,16,0,0,0,1950,5,13,0
837,774,154,20,13,22,0,0,0,0,108,0,0,0,1950,5,13,0
837,793,154,6,5,20,0,0,0,0,51,0,0,0,1950,5,13,0
837,741,154,16,6,15,0,0,0,0,25,0,0,0,1950,5,13,0
837,704,154,18,9,2,0,0,0,0,108,0,0,0,1950,5,13,0
838,579,51,6,1,64,0,0,0,0,1,0,0,0,1950,6,55,1
838,786,51,4,3,64,0,0,0,0,1,0,0,0,1950,6,55,1
838,687,6,14,18,61,0,0,0,0,13,0,0,0,1950,6,55,1
838,626,141,44,12,61,0,0,0,0,13,0,0,0,1950,6,55,0
838,741,154,16,4,59,0,0,0,0,15,0,0,0,1950,6,55,0
838,801,154,26,15,56,0,0,0,0,18,0,0,0,1950,6,55,0
838,642,51,2,2,55,0,0,0,0,48,0,0,0,1950,6,55,0
838,704,154,18,5,52,0,0,0,0,55,0,0,0,1950,6,55,0
838,773,154,22,9,36,0,0,0,0,5,0,0,0,1950,6,55,0
838,697,105,40,10,14,0,0,0,0,5,0,0,0,1950,6,55,0
838,660,154,42,14,11,0,0,0,0,25,0,0,0,1950,6,55,0
838,627,154,20,6,10,0,0,0,0,25,0,0,0,1950,6,55,0
838,686,105,32,11,9,0,0,0,0,5,0,0,0,1950,6,55,0
838,762,105,28,7,6,0,0,0,0,5,0,0,0,1950,6,55,0
838,589,105,30,13,6,0,0,0,0,5,0,0,0,1950,6,55,0
838,784,105,34,17,5,0,0,0,0,5,0,0,0,1950,6,55,0
838,793,154,12,16,4,0,0,0,0,25,0,0,0,1950,6,55,0
838,498,105,36,8,3,0,0,0,0,5,0,0,0,1950,6,55,0
838,774,154,16,4,59,0,0,0,0,15,0,0,0,1950,6,55,0
838,627,154,26,15,56,0,0,0,0,18,0,0,0,1950,6,55,0
839,642,51,10,3,80,0,0,0,0,1,0,0,0,1950,7,14,1
839,802,6,48,6,80,0,0,0,0,1,0,0,0,1950,7,14,1
839,786,51,36,5,80,0,0,0,0,1,0,0,0,1950,7,14,1
839,627,154,58,13,75,0,0,0,0,15,0,0,0,1950,7,14,0
839,741,154,24,16,75,0,0,0,0,15,0,0,0,1950,7,14,0
839,640,105,38,17,72,0,0,0,0,18,0,0,0,1950,7,14,0
839,687,6,8,18,72,0,0,0,0,18,0,0,0,1950,7,14,0
839,747,105,50,24,56,0,0,0,0,6,0,0,0,1950,7,14,0
839,787,151,32,21,51,0,0,0,0,21,0,0,0,1950,7,14,0
839,793,154,12,8,48,0,0,0,0,6,0,0,0,1950,7,14,0
839,764,154,40,11,42,0,0,0,0,108,0,0,0,1950,7,14,0
839,762,105,4,9,39,0,0,0,0,31,0,0,0,1950,7,14,0
839,641,51,60,7,34,0,0,0,0,5,0,0,0,1950,7,14,0
839,773,154,56,20,29,0,0,0,0,6,0,0,0,1950,7,14,0
839,579,51,18,1,23,0,0,0,0,6,0,0,0,1950,7,14,0
839,660,154,2,22,22,0,0,0,0,25,0,0,0,1950,7,14,0
839,647,6,16,2,21,0,0,0,0,5,0,0,0,1950,7,14,0
839,791,6,22,25,17,0,0,0,0,5,0,0,0,1950,7,14,0
839,765,154,64,16,16,0,0,0,0,23,0,0,0,1950,7,14,0
839,740,105,62,26,15,0,0,0,0,31,0,0,0,1950,7,14,0
839,427,141,42,12,13,0,0,0,0,110,0,0,0,1950,7,14,0
839,589,105,6,19,13,0,0,0,0,51,0,0,0,1950,7,14,0
839,763,51,46,4,11,0,0,0,0,5,0,0,0,1950,7,14,0
839,626,141,44,10,7,0,0,0,0,7,0,0,0,1950,7,14,0
839,669,105,30,15,1,0,0,0,0,5,0,0,0,1950,7,14,0
839,756,105,28,27,0,0,0,0,0,5,0,0,0,1950,7,14,0
839,697,163,52,23,0,0,0,0,0,54,0,0,0,1950,7,14,0
839,647,6,48,6,80,0,0,0,0,1,0,0,0,1950,7,14,1
839,579,51,60,7,34,0,0,0,0,5,0,0,0,1950,7,14,0
825,579,51,24,1,42,0,0,0,0,1,0,0,0,1951,1,66,1
825,641,6,44,6,42,0,0,0,0,1,0,0,0,1951,1,66,1
825,642,51,22,2,42,0,0,0,0,1,0,0,0,1951,1,66,1
825,763,51,28,4,41,0,0,0,0,11,0,0,0,1951,1,66,0
825,640,51,26,5,40,0,0,0,0,12,0,0,0,1951,1,66,0
825,647,6,20,7,40,0,0,0,0,12,0,0,0,1951,1,66,0
825,589,105,30,19,40,0,0,0,0,12,0,0,0,1951,1,66,0
825,475,133,14,14,40,0,0,0,0,12,0,0,0,1951,1,66,0
825,627,154,8,8,39,0,0,0,0,13,0,0,0,1951,1,66,0
825,741,154,4,12,39,0,0,0,0,13,0,0,0,1951,1,66,0
825,723,6,38,10,39,0,0,0,0,13,0,0,0,1951,1,66,0
825,501,105,32,17,38,0,0,0,0,14,0,0,0,1951,1,66,0
825,660,154,2,18,35,0,0,0,0,17,0,0,0,1951,1,66,0
825,764,154,40,21,31,0,0,0,0,45,0,0,0,1951,1,66,0
825,687,6,16,9,36,0,0,0,0,3,0,0,0,1951,1,66,0
